基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
银华新能源新材料C,005038,0.19亿元（2019-12-31）,7.27%,19.10%,17.66%,11.67%,--,-8.85%,李宜璇,1年又72天,36.67%,2年又73天
建信高股息主题股票,008177,15.96亿元（2020-01-21）,0.35%,--,--,--,--,0.22%,陶灿,46天,0.22%,8年又242天
富国互联科技股票,006751,5.65亿元（2019-12-31）,3.04%,36.97%,50.28%,--,--,87.93%,许炎,347天,87.93%,3年又196天
博时军工主题股票,004698,1.03亿元（2019-12-31）,14.54%,21.00%,12.43%,25.73%,--,15.80%,兰乔,2年又247天,15.80%,4年又99天
银华新能源新材料A,005037,0.24亿元（2019-12-31）,7.30%,19.23%,17.91%,12.13%,--,-7.83%,李宜璇,1年又72天,37.40%,2年又73天
招商量化精选股票A,001917,0.56亿元（2019-12-31）,10.04%,14.87%,19.33%,27.63%,8.79%,25.46%,王平,3年又358天,25.46%,9年又261天
招商量化精选股票C,007950,0.08亿元（2019-12-31）,9.98%,14.70%,--,--,--,19.29%,王平,178天,19.29%,9年又261天
汇添富外延增长主题股票,000925,25.64亿元（2019-12-31）,10.01%,9.69%,11.84%,19.56%,4.86%,14.30%,蔡志文/王栩,94天,11.08%,94天/10年又32天
鹏华环保产业股票,000409,2.40亿元（2019-12-31）,5.58%,26.17%,33.20%,34.54%,40.45%,127.10%,孟昊,224天,41.06%,2年又26天
华夏智胜价值成长A,002871,0.11亿元（2019-12-31）,10.66%,12.60%,11.52%,10.37%,0.23%,0.18%,荣膺,2年又2天,3.65%,4年又123天
华夏智胜价值成长C,002872,0.10亿元（2019-12-31）,10.63%,34.91%,34.91%,34.91%,0.12%,0.12%,荣膺,2年又2天,36.74%,4年又123天
工银物流产业股票,001718,0.56亿元（2019-12-31）,4.95%,21.53%,28.42%,41.02%,71.16%,97.00%,杜洋/张宇帆,292天,49.58%,5年又21天/4年又7天
银华智能汽车量化股票发起式C,005034,0.04亿元（2019-12-31）,10.42%,19.97%,24.75%,21.32%,--,-6.35%,马君,1年又25天,38.11%,7年又186天
工银新材料新能源股票,001158,18.84亿元（2019-12-31）,11.98%,17.29%,20.14%,31.61%,16.48%,-15.90%,张剑峰,206天,28.20%,3年又170天
富国文体健康股票,001186,9.95亿元（2019-12-31）,10.31%,20.10%,24.55%,40.24%,70.79%,38.00%,林庆,4年又307天,38.00%,4年又307天
中银战略新兴产业股票,001677,2.92亿元（2019-12-31）,5.34%,6.63%,12.72%,35.38%,51.05%,65.70%,钱亚风云,4年又103天,65.70%,4年又225天
创金合信消费主题股票A,003190,0.29亿元（2019-12-31）,13.27%,8.22%,9.19%,46.10%,64.18%,65.49%,陈建军,282天,23.11%,282天
银华智能汽车量化股票发起式A,005033,0.12亿元（2019-12-31）,10.45%,20.06%,24.91%,21.19%,--,-6.32%,马君,1年又25天,37.93%,7年又186天
创金合信消费主题股票C,003191,0.67亿元（2019-12-31）,13.20%,8.04%,8.63%,44.79%,62.13%,62.29%,陈建军,282天,21.91%,282天
华宝绿色领先股票,007590,14.46亿元（2019-12-31）,4.88%,6.30%,--,--,--,5.75%,夏林锋/蔡目荣,171天,5.75%,5年又138天/7年又200天
南方天元新产业股票(LOF),160133,22.15亿元（2019-12-31）,9.55%,21.68%,22.38%,47.20%,83.27%,239.60%,蒋秋洁,4年又266天,42.69%,5年又81天
东吴双三角A,005209,1.71亿元（2019-12-31）,5.99%,22.74%,24.75%,16.49%,--,13.45%,胡启聪/彭敢,260天,31.46%,260天/8年又321天
东吴双三角C,005210,0.21亿元（2019-12-31）,5.95%,22.59%,24.44%,15.91%,--,11.96%,胡启聪/彭敢,260天,30.99%,260天/8年又321天
嘉实文体娱乐股票A,003053,2.50亿元（2019-12-31）,6.30%,19.68%,24.23%,37.17%,46.54%,50.20%,张丹华/王凯,1年又287天,37.67%,4年又298天/3年又182天
汇添富高端制造股票,001725,21.68亿元（2019-12-31）,6.91%,4.72%,5.24%,17.10%,--,48.60%,赵鹏飞,2年又353天,48.60%,3年又278天
广发品牌消费股票发起式,004995,0.32亿元（2019-12-31）,6.79%,4.21%,4.03%,29.18%,--,13.29%,观富钦/孙迪,178天,7.14%,2年又23天/2年又84天
嘉实文体娱乐股票C,003054,0.47亿元（2019-12-31）,6.25%,19.64%,23.95%,36.53%,44.81%,48.00%,张丹华/王凯,1年又287天,36.66%,4年又298天/3年又182天
建信环保产业股票,001166,19.42亿元（2019-12-31）,9.19%,17.75%,16.89%,20.06%,1.53%,-20.40%,姜锋,4年又321天,-20.40%,8年又241天
前海开源再融资股票,001178,30.52亿元（2019-12-31）,5.25%,15.77%,19.26%,23.67%,74.88%,106.19%,邱杰,4年又295天,106.19%,5年又55天
金鹰科技创新股票,001167,5.11亿元（2019-12-31）,-2.62%,17.98%,17.62%,28.67%,14.85%,-21.90%,乔春/樊勇,316天,28.45%,3年又297天/1年又147天
南方新兴消费增长分级,160127,6.73亿元（2019-12-31）,10.56%,8.77%,12.04%,37.85%,47.68%,195.33%,郑诗韵/茅炜/肖勇,92天,8.77%,92天/4年又34天/2年又202天
长城量化小盘股票,007903,21.91亿元（2020-01-10）,4.45%,--,--,--,--,0.52%,雷俊,57天,0.52%,4年又55天
国泰消费优选股票,005970,1.14亿元（2019-12-31）,7.73%,12.01%,15.09%,29.38%,--,30.87%,李海/彭凌志,205天,20.81%,3年又273天/4年又98天
国泰大农业股票,001579,2.05亿元（2019-12-31）,15.89%,17.48%,22.37%,56.31%,--,88.20%,程洲,2年又266天,88.20%,11年又341天
金鹰量化精选股票(LOF),162107,0.10亿元（2019-12-31）,6.35%,5.52%,4.94%,10.66%,-24.86%,27.08%,王瀚宁,277天,17.74%,1年又198天
南方ESG股票A,008264,23.05亿元（2019-12-27）,3.67%,--,--,--,--,3.40%,章晖,79天,3.40%,4年又285天
建信中小盘先锋股票,000729,1.84亿元（2019-12-31）,8.58%,21.18%,19.48%,16.98%,15.40%,61.90%,许杰,2年又343天,16.22%,12年又270天
南方ESG股票C,008265,4.85亿元（2019-12-27）,3.59%,--,--,--,--,3.27%,章晖,79天,3.27%,4年又285天
富国高端制造行业股票,000513,8.53亿元（2019-12-31）,9.87%,18.24%,26.73%,58.87%,71.86%,143.70%,毕天宇,1年又135天,91.74%,14年又105天
中欧先进制造股票A,004812,0.23亿元（2019-12-31）,2.05%,21.54%,32.71%,34.04%,--,34.48%,于浩成,2年又48天,34.48%,2年又48天
国寿安保智慧生活股票,001672,3.13亿元（2019-12-31）,7.31%,16.90%,24.51%,30.79%,28.52%,49.34%,张琦,2年又133天,8.30%,9年又128天
中欧先进制造股票C,004813,0.11亿元（2019-12-31）,1.98%,21.79%,32.96%,34.71%,--,34.97%,于浩成,2年又48天,34.97%,2年又48天
泓德战略转型股票,001705,6.43亿元（2019-12-31）,4.28%,12.59%,18.36%,32.56%,34.16%,57.23%,秦毅,117天,16.06%,2年又279天
