基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
中金鑫裕1年定开债A,008104,2.04亿元（2019-12-18）,0.28%,--,--,--,--,0.49%,董珊珊/石玉,73天,0.44%,1年又18天/3年又235天
财通兴利纯债12个月定开债,008678,8.10亿元（2019-12-24）,0.26%,--,--,--,--,0.43%,林洪钧,74天,0.43%,5年又301天
人保添利9个月定开C,007608,0.30亿元（2019-11-07）,0.24%,0.30%,--,--,--,0.46%,魏瑄,121天,0.46%,2年又209天
泰康润和两年定开债券,007836,6.00亿元（2019-12-25）,0.25%,--,--,--,--,0.44%,经惠云/蒋利娟,73天,0.44%,4年又109天/4年又263天
东方红鑫裕两年定开信用债,008428,9.99亿元（2020-01-17）,0.50%,--,--,--,--,0.48%,陈觉平,50天,0.48%,1年又255天
创金合信汇泽三个月定开债券,006032,0.02亿元（2019-12-31）,-0.06%,-0.15%,--,--,--,0.75%,谢创/郑振源,177天,0.75%,1年又178天/4年又298天
平安合润定开债,008594,10.00亿元（2019-12-25）,0.29%,--,--,--,--,0.49%,苏宁,73天,0.49%,73天
农银汇理金祺一年定开债,008355,5.10亿元（2019-12-27）,0.25%,--,--,--,--,0.42%,周宇,71天,0.42%,1年又245天
富国汇优纯债63个月定开债,008521,79.99亿元（2020-01-13）,0.34%,--,--,--,--,0.42%,朱梦娜,54天,0.42%,1年又15天
中金鑫裕1年定开债C,008105,0.06亿元（2019-12-18）,0.23%,--,--,--,--,0.40%,董珊珊/石玉,73天,0.36%,1年又18天/3年又235天
中银添瑞6个月A,008146,16.04亿元（2019-12-31）,0.24%,--,--,--,--,0.41%,索丽娜/王妍,68天,0.38%,1年又9天/7年又166天
国泰惠鑫一年定期开放债券,008278,5.10亿元（2019-12-27）,0.25%,--,--,--,--,0.37%,陈雷,71天,0.37%,2年又296天
中金新润3个月定开债C,007438,0.00亿元（2020-01-21）,0.23%,--,--,--,--,0.24%,董珊珊,46天,0.24%,1年又18天
银华信用精选18个月定开债,008111,37.53亿元（2020-02-20）,--,--,--,--,--,0.28%,刘小平,16天,0.28%,1年又93天
中金新润3个月定开债A,007437,2.01亿元（2020-01-21）,0.27%,--,--,--,--,0.28%,董珊珊,46天,0.28%,1年又18天
交银裕坤纯债一年定开,008352,10.00亿元（2019-12-26）,0.26%,--,--,--,--,0.29%,于海颖,72天,0.29%,9年又103天
广发汇成一年定期开放债券,008362,10.00亿元（2020-01-21）,0.23%,--,--,--,--,0.24%,刘志辉,46天,0.24%,3年又111天
鑫元锦利一年定开债,008806,5.20亿元（2020-01-15）,0.26%,--,--,--,--,0.29%,郭卉/王海燕,32天,0.14%,86天/1年又140天
中银添瑞6个月C,008147,0.50亿元（2019-12-31）,0.19%,--,--,--,--,0.33%,索丽娜/王妍,68天,0.31%,1年又9天/7年又166天
华泰柏瑞锦兴39个月定开债,008649,38.00亿元（2020-01-20）,0.30%,--,--,--,--,0.33%,何子建,47天,0.33%,355天
华泰柏瑞益商一年定开债券,008650,10.02亿元（2020-02-28）,0.17%,--,--,--,--,0.19%,罗远航,47天,0.19%,5年又90天
广发汇择一年定开债A,008606,36.77亿元（2020-02-07）,--,--,--,--,--,0.13%,高翔,29天,0.13%,1年又329天
国泰惠信三年定开债,008017,142.62亿元（2019-12-31）,0.33%,0.70%,--,--,--,0.95%,陈雷,128天,0.95%,2年又296天
华泰紫金智鑫3月定开债,008982,10.10亿元（2020-02-26）,--,--,--,--,--,0.10%,李博良,10天,0.10%,2年又196天
博时安心收益定开债A,050028,0.48亿元（2019-12-31）,1.21%,2.25%,3.20%,8.10%,11.84%,46.21%,黄海峰,3年又70天,12.09%,4年又321天
广发汇择一年定开债C,008607,7.61亿元（2020-02-07）,--,--,--,--,--,0.10%,高翔,29天,0.10%,1年又329天
财通裕惠63个月定开债,008575,40.10亿元（2020-02-25）,--,--,--,--,--,0.08%,罗晓倩,11天,0.08%,2年又232天
诺德汇盈一年定开,008654,5.10亿元（2020-02-28）,--,--,--,--,--,0.09%,赵滔滔,19天,0.09%,9年又260天
浙商惠泉3个月定开债A,007224,3.30亿元（2019-12-26）,0.27%,--,--,--,--,0.44%,刘爱民/周锦程,72天,0.44%,2年又52天/3年又19天
南方鼎利一年债券,008510,9.10亿元（2020-02-27）,--,--,--,--,--,0.03%,黄河,9天,0.03%,358天
浙商惠泉3个月定开债C,007225,1.00亿元（2019-12-26）,0.24%,--,--,--,--,0.40%,刘爱民/周锦程,72天,0.40%,2年又52天/3年又19天
申万菱信安泰鼎利一年定开债,008968,3.10亿元（2020-02-27）,--,--,--,--,--,0.02%,叶瑜珍,9天,0.02%,6年又222天
广发汇达3个月定期开放债券,008161,9.60亿元（2020-02-17）,--,--,--,--,--,-0.01%,王予柯,19天,-0.01%,4年又286天
南方尊利一年债券,008745,10.00亿元（2020-02-26）,--,--,--,--,--,-0.03%,黄斌斌,10天,-0.03%,2年又27天
中加颐慧定开债券发起式C,005337,0.00亿元（2019-12-31）,0.00%,0.00%,0.00%,0.00%,--,0.00%,王霈,4天,0.00%,17天
前海开源乾盛定开债C,005721,0.00亿元（2019-12-31）,0.00%,0.00%,0.00%,0.00%,--,0.00%,林悦/刘静,1年又73天,0.00%,1年又73天/9年又133天
中加纯债定开债券C,004912,0.00亿元（2019-12-31）,0.00%,0.00%,0.00%,0.00%,--,0.00%,王霈,3天,0.00%,17天
兴业鼎泰一年定开债券发起式,008896,10.10亿元（2020-02-28）,--,--,--,--,--,-0.14%,丁进,8天,-0.14%,4年又284天
鹏华尊裕一年定开债,008951,10.00亿元（2020-02-27）,--,--,--,--,--,-0.25%,曾皓明,9天,-0.25%,9天
鹏扬淳悦一年定开债发起式,008807,10.10亿元（2020-02-28）,--,--,--,--,--,-0.22%,王华,9天,-0.22%,2年又23天
人保福睿18个月定开债,006455,1.99亿元（2019-12-31）,-0.30%,2.33%,-2.23%,--,--,-0.60%,梁婷,326天,-0.60%,3年又246天
博时安心收益定开债C,050128,0.41亿元（2019-12-31）,1.22%,2.15%,3.00%,7.78%,10.65%,42.50%,黄海峰,3年又70天,10.89%,4年又321天
华商丰利增强定开债C,003093,0.39亿元（2019-12-31）,3.47%,4.38%,4.38%,6.84%,-3.64%,-4.70%,厉骞,67天,3.59%,73天
华商丰利增强定开债A,003092,0.29亿元（2019-12-31）,3.64%,4.54%,4.65%,7.33%,-2.42%,-3.30%,厉骞,67天,3.64%,73天
国联安6个月定开债C,007702,0.00亿元（2019-12-31）,0.81%,1.11%,--,--,--,1.41%,洪阳玚/万莉,19天,0.45%,184天/6年又45天
国联安6个月定开债A,007701,15.09亿元（2019-12-31）,0.83%,1.17%,--,--,--,1.53%,洪阳玚/万莉,19天,0.46%,184天/6年又45天
人保添益6个月定开A,007727,9.48亿元（2019-12-31）,-11.12%,-12.57%,-12.10%,--,--,-12.09%,魏瑄,213天,-12.09%,2年又209天
人保添益6个月定开C,007728,3.82亿元（2019-12-31）,-11.16%,-12.67%,-12.29%,--,--,-12.30%,魏瑄,213天,-12.30%,2年又209天
兴业稳固收益一年理财债券,001368,0.00亿元（2016-12-31）,0.30%,0.89%,1.79%,2.91%,--,2.91%,魏泰源,297天,--,1年又284天
民生加银岁岁增利债券D,001785,0.00亿元（2019-06-30）,0.00%,1.21%,1.21%,0.00%,--,0.00%,胡振仓,1年又351天,--,10年又315天
东方永熙18个月定开债A,003530,0.29亿元（2019-12-31）,-0.07%,0.04%,-1.22%,1.24%,12.75%,13.22%,周薇,2年又171天,10.72%,5年又193天
民生加银汇鑫一年定开债D,004256,0.00亿元（2019-06-30）,0.00%,0.00%,--,--,--,0.00%,邱世磊,86天,--,4年又39天
东方永兴18个月定开债C,003325,1.17亿元（2019-12-31）,1.51%,2.33%,3.25%,1.99%,20.65%,20.86%,吴萍萍,2年又349天,20.80%,3年又352天
东方永兴18个月定开债A,003324,1.00亿元（2019-12-31）,1.56%,2.43%,3.47%,2.42%,22.13%,22.50%,吴萍萍,2年又349天,22.25%,3年又352天
招商招惠3个月定期开放债券C,003443,0.00亿元（2016-12-07）,--,--,--,--,--,0.00%,夏里鹏,1天,--,1天
招商定期宝六个月期理财债券,000792,0.00亿元（2018-12-31）,25.25%,26.15%,27.39%,30.40%,--,33.09%,许强,1年又77天,25.01%,4年又31天
华夏鼎瑞三个月定开债C,004922,0.00亿元（2018-09-21）,--,--,--,--,--,0.00%,刘明宇,1年又81天,--,2年又87天
华夏鼎诺三个月定开债C,004980,0.00亿元（2017-10-13）,--,--,--,--,--,0.00%,刘明宇,61天,--,2年又87天
南方卓利3个月定开债C,005394,0.00亿元（2019-06-30）,--,--,--,--,--,0.00%,金凌志,2年又48天,0.00%,2年又223天
招商添润3个月定开债C,005595,0.00亿元（2019-06-30）,--,--,--,--,--,0.00%,周欣宇,2年又50天,0.00%,2年又120天
民生加银家盈半年定期宝,000799,4.40亿元（2018-12-31）,0.67%,1.32%,1.88%,4.11%,--,4.13%,李文君,123天,--,5年又248天
招商招信定开债C,003451,0.00亿元（2019-06-30）,--,--,--,--,--,0.00%,许强,2年又363天,0.00%,4年又31天
汇添富鑫永定开债C,005591,0.00亿元（2018-12-31）,--,--,--,--,--,0.00%,胡娜,191天,--,4年又146天
华夏鼎泰六个月定开债C,005408,0.00亿元（2018-12-28）,--,--,--,--,--,0.00%,柳万军,1年又329天,0.00%,6年又68天
华夏鼎旺三个月定开债C,005214,0.00亿元（2018-12-28）,--,--,--,--,--,0.00%,张海静,222天,--,1年又1天
汇添富鑫成定开债C,005858,0.00亿元（2019-06-30）,--,--,--,--,--,0.00%,徐光,1年又112天,--,1年又199天
汇添富鑫泽定开债C,004832,0.00亿元（2019-06-30）,--,--,--,--,--,0.00%,徐光/陆文磊,1年又199天,--,1年又199天/12年又4天
华夏鼎祥三个月定开债C,004924,0.00亿元（2017-10-18）,--,--,--,--,--,0.00%,张海静/何家琪/刘明宇,1年又1天,--,1年又1天/3年又184天/2年又87天
招商添琪3个月定开债C,005649,0.00亿元（2019-06-30）,--,--,--,--,--,0.00%,周欣宇,2年又7天,0.00%,2年又120天
华夏鼎福三个月定开债C,005792,0.00亿元（2019-03-22）,--,--,--,--,--,0.00%,何家琪,1年又168天,0.00%,3年又184天
招商添德3个月定开债C,006394,0.00亿元（2019-06-30）,--,--,--,--,--,0.00%,滕越,1年又177天,0.00%,2年又362天
东方永熙18个月定开债C,003531,0.00亿元（2019-12-31）,-0.08%,-0.03%,-1.38%,0.87%,11.42%,11.81%,周薇,2年又171天,9.66%,5年又193天
汇添富鑫盛定开债C,005411,0.00亿元（2019-06-30）,--,--,--,--,--,0.00%,吴江宏/胡娜,1年又326天,0.00%,4年又235天/4年又146天
招商添利6个月定开债发起式C,006108,0.00亿元（2019-06-30）,--,--,--,--,--,0.00%,康晶/刘万锋,203天,--,4年又216天/5年又54天
华夏鼎禄三个月定开债券C,005863,0.00亿元（2018-12-31）,--,--,--,--,--,0.00%,刘明宇,1年又148天,0.00%,2年又87天
招商添荣3个月定开债C,006326,0.00亿元（2019-06-30）,--,--,--,--,--,0.00%,康晶,1年又106天,0.00%,4年又216天
华夏鼎顺三个月定开债C,005365,0.00亿元（2018-08-06）,--,--,--,--,--,0.00%,何家琪,1年又214天,0.00%,3年又184天
东方永泰纯债1年A,006715,6.78亿元（2019-12-31）,0.71%,1.88%,3.57%,6.23%,--,6.11%,吴萍萍,1年又49天,6.11%,3年又352天
东方永泰纯债1年C,006716,0.44亿元（2019-12-31）,0.67%,1.78%,3.37%,5.81%,--,5.64%,吴萍萍,1年又49天,5.64%,3年又352天
招商添旭定开债发起式C,007174,0.00亿元（2019-06-30）,--,--,--,--,--,0.00%,马龙,332天,0.00%,5年又347天
银华稳裕六个月定期开放债券A,007626,41.70亿元（2019-12-31）,0.88%,1.35%,--,--,--,1.42%,赵楠楠/瞿灿,183天,1.37%,221天/4年又288天
银华稳裕六个月定期开放债券C,007627,0.08亿元（2019-12-31）,0.85%,1.27%,--,--,--,1.27%,赵楠楠/瞿灿,183天,1.23%,221天/4年又288天
华泰紫金智惠定开债券C,005466,0.00亿元（2019-06-30）,--,--,--,--,--,-0.35%,阮毅/陈晨/李博良,299天,--,1年又128天/1年又2天/2年又196天
招商添韵3个月定开债C,007909,0.00亿元（2019-11-06）,--,--,--,--,--,0.00%,康晶,122天,0.00%,4年又216天
